loc_share,contract_share,missed_share
0.009999129248541492,0.000657030223390276,0.0
0.019957623429019244,0.001314060446780552,0.0
0.02862160044118074,0.0019710906701708277,0.0
0.03598525527530259,0.002628120893561104,0.0010395010395010396
0.04334891010942443,0.0032851511169513796,0.002079002079002079
0.05071256494354628,0.003942181340341655,0.0031185031185031187
0.05807621977766813,0.0045992115637319315,0.004158004158004158
0.06543987461178997,0.005256241787122208,0.005197505197505198
0.07280352944591183,0.005913272010512484,0.006237006237006237
0.08016718428003367,0.006570302233902759,0.007276507276507277
0.08702580326822047,0.007227332457293035,0.007276507276507277
0.09338519142019563,0.00788436268068331,0.007276507276507277
0.099198908658172,0.008541392904073587,0.007276507276507277
0.10485008562389342,0.009198423127463863,0.007276507276507277
0.11044611499724262,0.00985545335085414,0.008316008316008316
0.11593184918584738,0.010512483574244415,0.008316008316008316
0.12136533828694163,0.011169513797634692,0.008316008316008316
0.12679592488317418,0.011826544021024968,0.008316008316008316
0.13220909645023654,0.012483574244415242,0.008316008316008316
0.13761936551243723,0.013140604467805518,0.008316008316008316
0.1430296345746379,0.013797634691195795,0.008316008316008316
0.14821060575276462,0.01445466491458607,0.010395010395010396
0.1531738890662642,0.015111695137976347,0.010395010395010396
0.15810814733114678,0.01576872536136662,0.010395010395010396
0.1624851246625838,0.0164257555847569,0.011434511434511435
0.16683017444054218,0.017082785808147174,0.011434511434511435
0.1708240211302354,0.017739816031537452,0.012474012474012475
0.17477723275186485,0.018396846254927726,0.012474012474012475
0.17870722433460076,0.019053876478318004,0.012474012474012475
0.18259367834441123,0.01971090670170828,0.013513513513513514
0.1864714248396366,0.020367936925098553,0.013513513513513514
0.19025629117928772,0.02102496714848883,0.014553014553014554
0.19399181493629003,0.021681997371879105,0.015592515592515593
0.19765187356688824,0.022339027595269383,0.016632016632016633
0.20130612718776303,0.022996057818659658,0.016632016632016633
0.20492264824543582,0.023653088042049936,0.016632016632016633
0.2084520941572577,0.02431011826544021,0.016632016632016633
0.21196702754477115,0.024967148488830485,0.017671517671517672
0.21542100833018896,0.025624178712220762,0.017671517671517672
0.21886918410588338,0.026281208935611037,0.017671517671517672
0.22228833483296084,0.026938239159001315,0.017671517671517672
0.22562041041418746,0.02759526938239159,0.017671517671517672
0.22892926595652047,0.028252299605781867,0.017671517671517672
0.23222651147940673,0.02890932982917214,0.017671517671517672
0.2354482918758889,0.02956636005256242,0.018711018711018712
0.2386439497286158,0.030223390275952694,0.018711018711018712
0.24179897251327895,0.03088042049934297,0.018711018711018712
0.24493658026877196,0.03153745072273324,0.018711018711018712
0.2480190404318927,0.032194480946123524,0.01975051975051975
0.25107537805125824,0.0328515111695138,0.01975051975051975
0.25412300815603867,0.03350854139290407,0.01975051975051975
0.2571009781441384,0.03416557161629435,0.02079002079002079
0.2600383130641744,0.03482260183968462,0.02079002079002079
0.26294081792587004,0.035479632063074903,0.02079002079002079
0.2658259077583955,0.03613666228646518,0.02182952182952183
0.2687022900763359,0.03679369250985545,0.02286902286902287
0.2714944997532871,0.03745072273324573,0.02286902286902287
0.27427509941079153,0.03810775295663601,0.02390852390852391
0.27703247902940237,0.03876478318002628,0.02494802494802495
0.2797521260848112,0.03942181340341656,0.02494802494802495
0.28243694308187967,0.04007884362680683,0.02494802494802495
0.2850666124865759,0.040735873850197106,0.02598752598752599
0.28769047688154875,0.04139290407358739,0.02598752598752599
0.29031143877165994,0.04204993429697766,0.02598752598752599
0.2928685455548138,0.042706964520367936,0.02598752598752599
0.29534438220184017,0.04336399474375821,0.02598752598752599
0.2978057063245581,0.04402102496714849,0.028066528066528068
0.3002612254375526,0.04467805519053877,0.028066528066528068
0.3026354744144196,0.04533508541392904,0.029106029106029108
0.3049923083621165,0.045992115637319315,0.029106029106029108
0.30723884712506894,0.04664914586070959,0.029106029106029108
0.30947377586857455,0.04730617608409987,0.029106029106029108
0.31169128958291004,0.047963206307490146,0.029106029106029108
0.31388268075349024,0.04862023653088042,0.030145530145530147
0.3160653644094854,0.049277266754270695,0.031185031185031187
0.31823063303631033,0.04993429697766097,0.031185031185031187
0.3203639741096566,0.05059132720105125,0.031185031185031187
0.32247990015383277,0.051248357424441525,0.031185031185031187
0.3245900211882855,0.0519053876478318,0.032224532224532226
0.3266566046498128,0.052562417871222074,0.032224532224532226
0.32872028560647837,0.053219448094612355,0.032224532224532226
0.3307810640582823,0.05387647831800263,0.034303534303534305
0.3328331349955011,0.054533508541392904,0.035343035343035345
0.33486488839868805,0.05519053876478318,0.035343035343035345
0.33688503178242823,0.05584756898817345,0.036382536382536385
0.338899370156445,0.056504599211563734,0.036382536382536385
0.34089629350129164,0.05716162943495401,0.037422037422037424
0.34288160682669144,0.05781865965834428,0.038461538461538464
0.3448524076277828,0.05847568988173456,0.0395010395010395
0.34680579339970397,0.05913272010512484,0.0395010395010395
0.3487475691521783,0.059789750328515114,0.04054054054054054
0.350686442399791,0.06044678055190539,0.04158004158004158
0.35261080312309523,0.06110381077529566,0.04261954261954262
0.3545003337880591,0.06176084099868594,0.04261954261954262
0.35638986445302295,0.06241787122207622,0.04365904365904366
0.35827939511798684,0.06307490144546649,0.04365904365904366
0.3601515107537805,0.06373193166885677,0.0446985446985447
0.3620207238847125,0.06438896189224705,0.04573804573804574
0.36387542449133603,0.06504599211563732,0.04677754677754678
0.36572141758337445,0.0657030223390276,0.04781704781704782
0.3675528981511044,0.06636005256241786,0.04781704781704782
0.36937276869938757,0.06701708278580815,0.04781704781704782
0.37118683423794735,0.06767411300919843,0.04885654885654886
0.37299219226192204,0.0683311432325887,0.0498960498960499
0.37477723275186486,0.06898817345597898,0.05093555093555094
0.3765506632223609,0.06964520367936924,0.05093555093555094
0.3783153861782719,0.07030223390275953,0.05197505197505198
0.38005398659042755,0.07095926412614981,0.05197505197505198
0.38177226946855136,0.07161629434954007,0.05197505197505198
0.3834760398223667,0.07227332457293036,0.05197505197505198
0.38517400516645867,0.07293035479632064,0.05197505197505198
0.3868719705105506,0.0735873850197109,0.05197505197505198
0.38856993585464256,0.07424441524310119,0.05197505197505198
0.39024758366470264,0.07490144546649145,0.05301455301455302
0.39191942646503936,0.07555847568988174,0.05301455301455302
0.3935593417118974,0.07621550591327202,0.05301455301455302
0.3951586218906917,0.07687253613666228,0.05301455301455302
0.3967375845354541,0.07752956636005257,0.05405405405405406
0.39831654718021653,0.07818659658344283,0.05405405405405406
0.3998926073201173,0.07884362680683311,0.0550935550935551
0.4014657649551563,0.0795006570302234,0.0550935550935551
0.4030186050561635,0.08015768725361366,0.056133056133056136
0.40456854265230896,0.08081471747700394,0.056133056133056136
0.4060952602095608,0.08147174770039421,0.057172557172557176
0.4076161727570894,0.0821287779237845,0.057172557172557176
0.4091283777900328,0.08278580814717477,0.058212058212058215
0.4105825327257423,0.08344283837056504,0.059251559251559255
0.41203668766145185,0.08409986859395532,0.059251559251559255
0.41348794009229967,0.08475689881734559,0.060291060291060294
0.4149362900182858,0.08541392904073587,0.061330561330561334
0.4163730299248251,0.08607095926412615,0.062370062370062374
0.4178010623167794,0.08672798948751642,0.062370062370062374
0.41921167967956346,0.0873850197109067,0.06340956340956341
0.420599077003454,0.08804204993429698,0.06340956340956341
0.4219864743273445,0.08869908015768725,0.06340956340956341
0.42337096914637334,0.08935611038107753,0.06444906444906445
0.4247438539459554,0.0900131406044678,0.06444906444906445
0.4261167387455374,0.09067017082785808,0.06652806652806653
0.42748962354511943,0.09132720105124836,0.06652806652806653
0.4288567033349781,0.09198423127463863,0.06652806652806653
0.43022088061997504,0.09264126149802891,0.06652806652806653
0.43157054538066353,0.09329829172141918,0.06652806652806653
0.4329173076364903,0.09395532194480946,0.06652806652806653
0.434255362377732,0.09461235216819974,0.06652806652806653
0.43559051461411197,0.09526938239159001,0.06652806652806653
0.436925666850492,0.09592641261498029,0.06652806652806653
0.4382521115722869,0.09658344283837056,0.06652806652806653
0.4395640437697733,0.09724047306176084,0.06652806652806653
0.440864365947813,0.09789750328515112,0.06652806652806653
0.4421617856209909,0.09855453350854139,0.06756756756756757
0.4434504977795838,0.09921156373193167,0.06756756756756757
0.44473920993817667,0.09986859395532194,0.06756756756756757
0.4460250195919078,0.10052562417871222,0.07068607068607069
0.4473079267407773,0.1011826544021025,0.07276507276507277
0.44859083388964677,0.10183968462549277,0.07276507276507277
0.44987083853365456,0.10249671484888305,0.07380457380457381
0.4511508431776623,0.10315374507227333,0.07380457380457381
0.452422140307085,0.1038107752956636,0.07380457380457381
0.45366731489275247,0.10446780551905388,0.07380457380457381
0.4549124894784199,0.10512483574244415,0.07484407484407485
0.45614605404464054,0.10578186596583443,0.07588357588357589
0.4573709110962761,0.10643889618922471,0.07796257796257797
0.45859576814791164,0.10709592641261498,0.07796257796257797
0.45981482018982384,0.10775295663600526,0.07796257796257797
0.4610309697268743,0.10840998685939553,0.07796257796257797
0.4622238992250312,0.10906701708278581,0.07796257796257797
0.4634168287231881,0.10972404730617609,0.07796257796257797
0.46460975822134504,0.11038107752956636,0.079002079002079
0.4657997852146402,0.11103810775295664,0.08004158004158005
0.46698981220793545,0.1116951379763469,0.08004158004158005
0.4681798392012307,0.11235216819973719,0.08004158004158005
0.4693640611848025,0.11300919842312747,0.08004158004158005
0.4705453806635126,0.11366622864651774,0.08108108108108109
0.4717208951324994,0.11432325886990802,0.08212058212058213
0.4728964096014861,0.11498028909329829,0.08316008316008316
0.4740719240704728,0.11563731931668857,0.0841995841995842
0.47524743853945955,0.11629434954007885,0.08523908523908524
0.4764229530084463,0.11695137976346912,0.08627858627858628
0.477598467477433,0.1176084099868594,0.08731808731808732
0.47877398194641974,0.11826544021024968,0.08835758835758836
0.4799494964154065,0.11892247043363995,0.0893970893970894
0.48112501088439324,0.11957950065703023,0.09043659043659044
0.48230052535337997,0.1202365308804205,0.09147609147609148
0.4834760398223667,0.12089356110381078,0.09251559251559252
0.4846515542913534,0.12155059132720106,0.09355509355509356
0.48582706876034015,0.12220762155059132,0.0945945945945946
0.48700258322932694,0.1228646517739816,0.09563409563409564
0.48817809769831366,0.12352168199737187,0.09771309771309772
0.4893536121673004,0.12417871222076216,0.09875259875259876
0.4905291266362871,0.12483574244415244,0.0997920997920998
0.49170464110527384,0.12549277266754272,0.10083160083160084
0.4928714480596755,0.12614980289093297,0.10083160083160084
0.49403535250921543,0.12680683311432325,0.10083160083160084
0.4951789394247235,0.12746386333771353,0.10083160083160084
0.4963196238353699,0.12812089356110382,0.10187110187110188
0.4974486982265695,0.1287779237844941,0.10187110187110188
0.49856906510318405,0.12943495400788435,0.10395010395010396
0.4996894319797986,0.13009198423127463,0.10395010395010396
0.5008097988564131,0.1307490144546649,0.104989604989605
0.5019272632281659,0.1314060446780552,0.10602910602910603
0.5030447275999187,0.13206307490144548,0.10706860706860707
0.5041621919716716,0.13272010512483573,0.10706860706860707
0.505273851333701,0.133377135348226,0.10810810810810811
0.506379705686007,0.1340341655716163,0.10810810810810811
0.5074797550285897,0.13469119579500657,0.10914760914760915
0.5085710968565872,0.13534822601839686,0.10914760914760915
0.509650828665138,0.1360052562417871,0.10914760914760915
0.5107276579688271,0.1366622864651774,0.1101871101871102
0.5117957797579311,0.13731931668856767,0.11122661122661123
0.5128580965373117,0.13797634691195795,0.11226611226611227
0.5139204133166924,0.13863337713534823,0.11226611226611227
0.5149827300960729,0.1392904073587385,0.11330561330561331
0.5160450468754535,0.13994743758212877,0.11330561330561331
0.5171073636548341,0.14060446780551905,0.11330561330561331
0.5181638754244914,0.14126149802890933,0.11538461538461539
0.5192116796795635,0.14191852825229961,0.11642411642411643
0.5202478739151888,0.1425755584756899,0.11954261954261955
0.5212811656459525,0.14323258869908015,0.11954261954261955
0.5223115548718544,0.14388961892247043,0.12058212058212059
0.523336139088033,0.1445466491458607,0.12162162162162163
0.5243549182944881,0.145203679369251,0.12266112266112267
0.5253736975009433,0.14586070959264127,0.12266112266112267
0.5263895742025367,0.14651773981603153,0.12266112266112267
0.5273996458944069,0.1471747700394218,0.12266112266112267
0.5284068150814153,0.1478318002628121,0.12474012474012475
0.5294139842684237,0.14848883048620237,0.12681912681912683
0.5304066409311236,0.14914586070959265,0.12681912681912683
0.5313934925841001,0.1498028909329829,0.12681912681912683
0.5323774417322149,0.1504599211563732,0.12681912681912683
0.5333584883754681,0.15111695137976347,0.12785862785862787
0.5343395350187211,0.15177398160315375,0.12993762993762994
0.5353147766522509,0.15243101182654403,0.13097713097713098
0.5362900182857806,0.1530880420499343,0.13097713097713098
0.5372623574144487,0.15374507227332457,0.13201663201663202
0.5382288915333934,0.15440210249671485,0.13305613305613306
0.539195425652338,0.15505913272010513,0.13305613305613306
0.5401590572664209,0.1557161629434954,0.1340956340956341
0.5411226888805039,0.15637319316688567,0.13513513513513514
0.5420805154848635,0.15703022339027595,0.13513513513513514
0.543038342089223,0.15768725361366623,0.13513513513513514
0.5439961686935826,0.1583442838370565,0.13617463617463618
0.5449539952979421,0.1590013140604468,0.13721413721413722
0.54590891939744,0.15965834428383704,0.13721413721413722
0.5468609409920762,0.16031537450722733,0.1392931392931393
0.547807157576989,0.1609724047306176,0.1392931392931393
0.54875047165704,0.1616294349540079,0.1392931392931393
0.5496937857370912,0.16228646517739817,0.1392931392931393
0.5506283923025571,0.16294349540078842,0.14033264033264034
0.5515455838388529,0.1636005256241787,0.14033264033264034
0.5524598728702871,0.164257555847569,0.14137214137214138
0.5533741619017212,0.16491458607095927,0.14137214137214138
0.5542826459234319,0.16557161629434955,0.14241164241164242
0.5551911299451426,0.1662286465177398,0.14345114345114346
0.5560967114619917,0.16688567674113008,0.14345114345114346
0.5569964879691174,0.16754270696452037,0.1444906444906445
0.557896264476243,0.16819973718791065,0.14553014553014554
0.558793138478507,0.16885676741130093,0.14656964656964658
0.5596900124807709,0.16951379763469118,0.14656964656964658
0.5605839839781732,0.17017082785808146,0.14656964656964658
0.5614779554755754,0.17082785808147175,0.14656964656964658
0.5623632194583926,0.17148488830486203,0.14656964656964658
0.5632484834412098,0.1721419185282523,0.14656964656964658
0.5641308449191652,0.1727989487516426,0.14656964656964658
0.5650074013873974,0.17345597897503284,0.14760914760914762
0.565878152845906,0.17411300919842312,0.14760914760914762
0.566746001799553,0.1747700394218134,0.1496881496881497
0.5676109482483384,0.1754270696452037,0.15072765072765074
0.5684729921922619,0.17608409986859397,0.15072765072765074
0.5693350361361855,0.17674113009198422,0.15072765072765074
0.570188372565524,0.1773981603153745,0.15072765072765074
0.5710271964705541,0.17805519053876478,0.15176715176715178
0.5718660203755841,0.17871222076215507,0.15176715176715178
