category,n,events,coef,p,note
bad_randomness,529,479,-0.25815734083401815,2.8825307371277782e-05,
arithmetic,22195,17075,-0.17235600905845258,4.22200434432747e-06,
access_control,1440,1235,-0.04490765574389162,0.5159442338653112,
denial_service,3990,3528,-0.02941892520211536,0.546508158971595,
unchecked_low_calls,7190,5183,0.030177248608801457,0.34481224275924394,
time_manipulation,14107,10411,0.030524137091966212,0.24411794175918355,
reentrancy,1405,963,0.27751396906093895,5.9918282782813135e-05,
front_running,217,195,0.41926873789338925,0.35755736778273517,
short_addresses,17,17,,,insufficient variation
