metric,VIF,exceeds_5
NUMPAR,58.04845442881955,True
NOI,53.93190981893576,True
LLOC,35.987567882747456,True
AvgNUMPAR,17.45792668487869,True
SLOC,17.03064794294309,True
AvgNOI,11.489289707473464,True
AvgNOS,7.248394493078505,True
AvgMcCC,6.498472979090803,True
CBO,6.094423376048541,True
NA,5.081271265287318,True
NL,4.367472406622832,False
CLOC,4.265813439554936,False
NOA,3.4024252257612395,False
