,coef,std_err,z,p,odds_ratio
CLOC,0.07384197738397016,0.025167269277736815,2.934048051422544,0.0033457240778450178,1.0766366591116991
NOA,0.05542624820303798,0.03472913999285989,1.5959579826748747,0.11049817461967869,1.0569910592077025
CBO,0.04942662113092058,0.04610202230666089,1.0721139476733832,0.28366885489942006,1.0506684925203562
AvgNUMPAR,0.043141331801689,0.028403710452392303,1.5188625399487348,0.1287970998590363,1.044085446900796
AvgNOS,0.03259161704295753,0.04119713687929459,0.791113643126444,0.42887767846707336,1.0331285409901492
NA,-0.04592781055528502,0.04036656834172884,-1.137768515928248,0.2552171548782183,0.9551109086282172
NL,-0.05050490648107054,0.029921948915913786,-1.687888266335815,0.09143267946334706,0.9507492638276172
AvgNOI,-0.08872676280519456,0.03726106181362925,-2.3812193879225503,0.01725543186797135,0.915095577566295
