metric,coef_base,p_base,coef_subFE,p_subFE,significance_change
NOA,0.22724990117871144,2.4998828725409994e-10,0.24905552400934555,7.313825489569852e-12,
AvgNOI,-0.10061196278873537,0.004419333684732642,0.09057611985796271,0.013192797246116422,
AvgNUMPAR,-0.24520039503291527,2.187934478804172e-12,-0.08874980278328042,0.013631959623324794,
CBO,-0.16092595538649432,0.000330170266306982,-0.09992141012198781,0.029218151945120074,
NL,0.2340634908088835,5.250095897518618e-11,0.07339545743908327,0.041374902272557995,
NA,0.005335134078899279,0.9144881506833998,0.09680202238221142,0.059240742453383656,
AvgNOS,0.2870563531962154,1.2636962424685925e-08,0.09400669025791308,0.06349705054305965,FLIPS
CLOC,-0.010922357154479095,0.7735320912088836,0.036731833860309884,0.3243077389690151,
