detector_class,n,events,coef,p,note
fuzzing,4738,2901,-0.183055636980946,0.04851619252039001,
static,18610,15061,-0.1817092168848827,1.082363224177485e-06,
linter,6394,5126,-0.11813359860834231,1.2397061500019404e-05,
symbolic,21348,15998,0.11105812375941171,0.0017124077599606847,
