metric,slither_slope,interaction_pooled,p_pooled,interaction_crashonly,p_crashonly,interaction_timeoutonly,p_timeoutonly
NOA,-0.18726906618721584,0.3840356936988241,0.005919487452596516,0.01940411368612138,0.864725689415808,,
DIT,-0.03405762730666454,0.30901251145989417,0.02945167497026798,-0.09834138085548495,0.36161175143004587,,
