category,n_dapp,events_dapp,coef_dapp,p_dapp,note_dapp,n_salz,events_salz,coef_salz,p_salz,note_salz
reentrancy,62,9,-0.8338748292668665,0.04150814859970495,,1405,963,0.2775139690609389,5.9918282782813135e-05,
arithmetic,121,87,-0.29031081938413156,0.40241929823449407,,22195,17075,-0.1723560090584525,4.22200434432747e-06,
denial_service,68,37,-0.16599182577615013,0.6460090537116885,,3990,3528,-0.0294189252021153,0.546508158971595,
access_control,92,40,-0.09639567761562105,0.7791387537937817,,1440,1235,-0.0449076557438916,0.5159442338653112,
bad_randomness,16,16,,,insufficient variation,529,479,-0.2581573408340181,2.8825307371277782e-05,
front_running,47,47,,,insufficient variation,217,195,0.4192687378933892,0.3575573677827351,
time_manipulation,17,1,,,too few observations,14107,10411,0.0305241370919662,0.2441179417591835,
unchecked_low_calls,54,3,,,too few observations,7190,5183,0.0301772486088014,0.3448122427592439,
