metric,model,coef_base,p_base,coef_subFE,p_subFE,wild_bootstrap_p,verdict
CLOC,detection,0.07384197738397016,0.0033457240778450178,0.07427034664531643,0.002873525327284125,0.061,survives
AvgNOS,analysis,0.2870563531962154,1.2636962424685925e-08,0.09400669025791308,0.06349705054305965,0.261,does not survive
