metric,model,boxtidwell_p,spline_lr_p,linear_coef,linear_p,spline_effect_same_sign,spline_effect_significant,spline_wald_p
CLOC,detection,0.00026346461774592823,3.5631424042418654e-11,0.07384197738397016,0.0033457240778450178,True,True,6.755902595536501e-06
AvgNOS,analysis,0.20075454319158492,1.4243128238638713e-07,0.2870563531962149,1.263696242468689e-08,True,True,8.27706922005781e-08
