deployment,auc_complexity,auc_category,auc_combined,delta_complexity_minus_category,delta_ci_or_p,blind_rate,n_contracts
slither,0.9145047667999773,0.9012015574832423,0.9451237114853828,0.01330320931673501,"[-0.018, +0.027] (paired t p=0.599)",0.568988173455979,1522
slither+mythril,0.8899502894885933,0.8672195622435019,0.9164049869419227,0.022730727245091398,"[-0.017, +0.048] (paired t p=0.261)",0.5085413929040736,1522
combo3,0.7977444411448087,0.7697993615204722,0.8565509113181633,0.027945079624336455,"[-0.033, +0.082] (paired t p=0.306)",0.1038107752956636,1522
all19,0.7056343931501108,0.7847973175258965,0.8566433147715705,-0.07916292437578576,"[-0.319, +0.138] (paired t p=0.334)",0.03745072273324573,1522
