detector_class,n,events,coef,p,note
linter,3882,99,-0.3870775838128227,2.0135411459431795e-07,
fuzzing,4314,1121,-0.0937980992446834,0.018002276379365422,
symbolic,19109,5146,0.12618966829008674,5.532810148352782e-14,
static,12947,729,0.1923164231092213,8.107238234527443e-06,
