corpus,n,coef,p
Salzano (main),1405.0,0.2775139690609389,5.9918282782813135e-05
DAppSCAN,62.0,-0.8338748292668665,0.0415081485997049
FORGE,133.0,-0.3144201296736478,0.1050300495772279
