metric,coef_base,p_base,coef_subFE,p_subFE,significance_change
CLOC,0.07384197738397016,0.0033457240778450178,0.07427034664531643,0.002873525327284125,
AvgNOI,-0.08872676280519456,0.01725543186797135,-0.08658622928924795,0.02708389904683027,
NA,-0.04592781055528502,0.2552171548782183,-0.08691551390474911,0.043482843529708694,FLIPS
NOA,0.05542624820303798,0.11049817461967869,0.05612949278940478,0.10845988182915023,
AvgNUMPAR,0.043141331801689,0.1287970998590363,0.019729635341603418,0.5357049768986006,
CBO,0.04942662113092058,0.28366885489942006,0.026342606149625233,0.582734198747749,
NL,-0.05050490648107054,0.09143267946334706,-0.017003744056698737,0.5951896819438072,
AvgNOS,0.03259161704295753,0.42887767846707336,0.01949534460830366,0.6616706778878614,
