benchmark,instances,rows,arithmetic_share,reentrancy_share,LLOC_slope,p
smartbugs_curated,140,3194,0.10714285714285714,0.22142857142857142,0.009280739663522273,0.8450357705350233
zeus_safe,48,614,0.2916666666666667,0.0,0.25755951299458524,0.05134864097357634
zeus_vulnerable,363,8443,0.3443526170798898,0.01928374655647383,-0.08238479077827966,0.04959638551303708
smartbugs_results,1287,38839,0.4397824397824398,0.03108003108003108,-0.06947521347766004,0.002201411249694064
