corpus,n,events,power,n_significant,type_s,type_m,mde_80
DAppSCAN,62,9,0.08875,355,0.02535211267605634,4.366144416821772,1.403834533691406
FORGE,133,102,0.22875,915,0.0,2.1197640305469285,0.6255996704101562
