,coef,std_err,z,p,odds_ratio
AvgNOS,0.2870563531962154,0.05044127028357865,5.690902540368174,1.2636962424685925e-08,1.3324993019545381
NL,0.2340634908088835,0.035660485193156934,6.563665343897203,5.250095897518618e-11,1.263724724565711
NOA,0.22724990117871144,0.03591753316979738,6.326990779249927,2.4998828725409994e-10,1.2551434905890626
NA,0.005335134078899279,0.04968498371415827,0.10737920554815387,0.9144881506833998,1.0053493912500826
CLOC,-0.010922357154479095,0.03795676301509524,-0.2877578667636995,0.7735320912088836,0.9891370752111128
AvgNOI,-0.10061196278873537,0.035345010144120545,-2.8465676591543327,0.004419333684732642,0.9042838606018173
CBO,-0.16092595538649432,0.04482117131067169,-3.5904004888908085,0.000330170266306982,0.8513551070332434
AvgNUMPAR,-0.24520039503291527,0.03491913337158171,-7.021949612084791,2.187934478804172e-12,0.7825477038551052
